gene,cluster_1,cluster_2,cluster_3
mrpl18,0.80125381,0.687628449,0.446759912
tcp1,0.906630139,0.683690703,0.791269244
acat2,0.085028454,0.058368858,0.035690306
wtap,0.408700493,0.326345613,0.324753677
sod2,0.407755953,0.504363588,0.32947348
tcte2,0,0.001116497,0
mllt4,0.008820617,0.035796217,0.02792807
x1600012h06rik,0.104501832,0.109334124,0.132509676
phf10,0.066237464,0.062933932,0.066958393
ermard,0.095775524,0.068929136,0.080354265
tcte3,0.005294587,0.001182553,0.001791237
gm28873,0,0.002853631,0
dll1,0.001130645,0.00991111,0.001752851
fam120b,0.03331728,0.045438296,0.024728319
psmb1,1.915837498,1.663489295,1.643592155
tbp,0.06190771,0.06828628,0.054208405
pdcd2,0.326371408,0.23033192,0.111215188
prdm9,0.000800592,0.005389133,0.007296159
chd1,0.325182015,0.31165006,0.27959562
rgmb,0.007537771,0.001762096,0.112259196
bc002059,0.060156611,0.043588599,0.013825427
zfp97,0.00428843,0.009222225,0.006517724
gm6712,0.001622228,0.009990847,0.003958348
lnpep,0.068850329,0.05375471,0.036795756
spaca6,0.001664638,0.002897555,0.001979068
fpr1,0,0.000979103,0
fpr2,0,0.003000932,0.004544509
gm7535,0.006418633,0.006646957,0.007320668
ppp2r1a,0.523537206,0.488893412,0.443954382
zfp160,0.027107298,0.021377975,0.024218715
zfp677,0.027486608,0.013864286,0.014096359
zfp54,0.019622618,0.01886728,0.004961076
zfp51,0.062661704,0.05935855,0.0259694
zfp53,0.103181638,0.106182073,0.037727535
x9330136k24rik,0,0,0
zfp52,0.095816232,0.058037043,0.029374614
zfp948,0.006326986,0.007773662,0.005706423
x3110052m02rik,0.008391289,0.016759628,0.011775281
zfp760,0.012713355,0.023562749,0.008200503
zfp229,0,0.000361014,0.003756688
zfp820,0,0.000535489,0
x2210404o09rik,0.028777225,0.014365168,0.023529723
zfp942,0.072629222,0.056308868,0.058768843
zfp943,0.03956924,0.041095542,0.023414197
zfp947,0,0.001585074,0.004694957
gm4944,0.052045533,0.052941834,0.041585587
zfp944,0.044316277,0.064269034,0.023447185
zfp758,0.038356403,0.040757818,0.014646098
zfp946,0.014996305,0.028671042,0.010902833
zfp945,0.194449007,0.157690868,0.168996594
zfp40,0.018293804,0.011291863,0.006635817
zfp213,0.046307358,0.032703441,0.023484142
mmp25,0.001024658,0.00104999,0.285454776
ccdc64b,0,0,0.011191674
thoc6,0.150621058,0.114972249,0.202833076
hcfc1r1,0.508006204,0.436138787,0.788682184
tnfrsf12a,0.014254675,0.030545214,0.020005073
pkmyt1,0.082805535,0.047231404,0.020901136
paqr4,0.07285879,0.036008382,0.020798483
kremen2,0.121757046,0.017813219,0.010889083
x9530082p21rik,0.021886345,0.017198887,0.006239262
flywch1,0.071748598,0.04858977,0.040244392
flywch2,0.028437474,0.00422905,0.0093798
d930048g16rik,0.002569104,0.003017766,0
srrm2,1.116562004,1.173569173,1.043804487
tceb2,1.92023306,1.57418914,1.655408923
prss30,0.018604798,0.019596413,0.006098991
prss27,0,0.001040355,0
kctd5,0.097041109,0.088807644,0.121003939
pdpk1,0.177402294,0.164728115,0.110019693
amdhd2,0.182128589,0.129502372,0.175453842
gm43796,0.008005405,0.004398115,0.008769953
atp6v0c,0.007952436,0.009325407,0.010446773
tbc1d24,0.003578028,0.001720411,0.02524915
x1600002h07rik,0.011680935,0.016925763,0.009540354
ccnf,0.005717579,0.00464055,0.005391157
abca17,0,0.000278079,0.007490261
abca3,0.035889454,0.007329773,0.076531793
rnps1,0.291643214,0.254968745,0.195763202
eci1,0.328376224,0.324486058,0.086826501
dnase1l2,0.010348828,0.007486205,0.004421877
e4f1,0.084700532,0.080018402,0.092587041
pgp,0.255769106,0.275339779,0.146967647
mlst8,0.041631329,0.020508362,0.026321142
traf7,0.176986485,0.145860395,0.138400312
rab26,0.01708373,0.002185573,0.084731727
rab26os,0.042352583,0.024788953,0.044987986
pkd1,0.020441991,0.008448657,0.02747028
tsc2,0.030339763,0.032690706,0.037821299
nthl1,0.017253418,0.007455411,0.010749238
slc9a3r2,0.001803258,0.008491197,0.008417534
zfp598,0.047772903,0.055770664,0.07552268
gfer,0.235880216,0.126879972,0.392844995
noxo1,0.002169196,0.000694677,0.020287066
tbl3,0.105690661,0.097307231,0.064995574
rps2,3.808617276,3.50434408,2.946530508
snhg9,0.078872241,0.06312491,0.037089676
ndufb10,1.089719743,0.960515267,0.79542406
rpl3l,0,0.000829225,0.025624469
msrb1,0.399912239,0.318326739,0.563679373
hagh,0.140364134,0.124097789,0.043469201
fahd1,0.015329887,0.018460343,0.007964591
nubp2,0.29479398,0.301398125,0.21419332
spsb3,0.211137762,0.189315418,0.117259249
eme2,0.008894595,0.004845248,0.002500763
mapk8ip3,0.075663841,0.050211256,0.057558579
mrps34,0.399708017,0.370149498,0.294976522
nme3,0.01074001,0.007138149,0.004474618
hn1l,0.055722592,0.032807664,0.08895355
cramp1l,0.051786866,0.0297183,0.058726398
ift140,0.020045219,0.012443737,0.069818859
telo2,0.041235353,0.066446727,0.011644359
clcn7,0.028874741,0.040118426,0.055073711
bc003965,0.276023452,0.238911215,0.116366506
unkl,0.065324062,0.052880241,0.029821354
gnptg,0.251906789,0.300202452,0.067692146
tsr3,0.287695127,0.202266866,0.146008664
baiap3,0.08723492,0.065997272,0.007696934
ube2i,1.219899905,1.138082908,1.230692263
lmf1,0.087373998,0.060110363,0.023931261
chtf18,0.014493695,0.006335007,0.004456995
rpusd1,0.043807416,0.027854879,0.025206893
narfl,0.063964603,0.052513925,0.050064313
haghl,0.120076985,0.086151027,0.154534048
fam173a,0.614980597,0.610301592,0.376102869
metrn,0.242172078,0.132439957,0.021843758
wdr24,0.026821434,0.028963465,0.027235094
jmjd8,0.024734241,0.030753363,0.007124558
stub1,0.370553358,0.481404158,0.527757171
rhot2,0.071504586,0.040808982,0.046614854
wdr90,0.007644013,0.014878704,0.09952852
fam195a,0.024688867,0.022008394,0.033642662
x0610011f06rik,0.344031458,0.35197755,0.08264254
wfikkn1,0,0.000301092,0
rab40c,0.050293457,0.050646209,0.027342973
pigq,0.108614731,0.055655287,0.044985764
capn15,0.042938394,0.035693705,0.017251627
x1700022n22rik,0.003786536,0.001687015,0.003131052
rab11fip3,0.002825558,0.002958072,0.002428798
decr2,0.047803341,0.035870894,0.06575234
nme4,0.005809677,0.01109425,0.017049041
gm8186,0.449944857,0.284594385,0.203560026
tmem8,0.01806618,0.02354761,0.24244432
mrpl28,0.455916372,0.330702907,0.215188563
axin1,0.04312902,0.057865588,0.027793581
arhgdig,0.008961421,0.000151976,0.00052735
rgs11,0.031908636,0.004628641,0
fam234a,0.041965328,0.042070454,0.051283292
luc7l,0.182201596,0.140182046,0.087515049
neurl1b,0.00338021,0.004860952,0.053699729
dusp1,0.251852318,0.473394194,1.009089147
ergic1,0.146549504,0.055617298,0.129087785
atp6v0e,1.313947408,1.273316209,1.760467103
crebrf,0.094639211,0.121467803,0.14563718
bnip1,0.139779194,0.112287921,0.055385116
kifc5b,0.001589231,0.002728924,0.002178922
phf1,0.079184806,0.132870406,0.064858403
cuta,0.913881432,0.947684585,0.361171124
ggnbp1,0.003177792,0.002751689,0.005657122
bak1,0.574794734,0.415221434,0.651264097
itpr3,0.042439596,0.094217902,0.025397526
uqcc2,0.824873998,0.705623614,0.313529629
ip6k3,0,0,0.003792343
lemd2,0.069665548,0.046993016,0.064204859
gm26724,0.025902668,0.056407457,0.031543328
gm10505,0.017571617,0.016454953,0.00052735
hmga1,0.067149704,0.060131531,0.132752021
ai413582,0.407602088,0.324819785,0.395828545
nudt3,0.100405197,0.110469387,0.095375172
rps10,3.586621075,3.447902473,3.002336372
pacsin1,0.143901261,0.009750292,0.030329316
d17wsu92e,0.137830495,0.13875088,0.385039201
snrpc,0.884769605,0.689281166,0.615749015
uhrf1bp1,0.004637667,0.003732234,0.00224636
taf11,0.232424357,0.212408595,0.154782029
anks1,0.02008513,0.027857953,0.019707968
zfp523,0.017820516,0.014567538,0.015075461
def6,0.616562566,0.42986759,0.074266343
ppard,0.025220186,0.025318077,0.023846226
fance,0.086366979,0.067960321,0.041051082
rpl10a,3.370427109,3.201308349,2.510439538
fkbp5,0.092816375,0.077122982,0.023257131
gm20109,0.003605808,0.002364866,0
e230001n04rik,0.02087977,0.02814909,0.002045521
srpk1,0.54539816,0.409105737,0.192210419
mapk14,0.180569767,0.168629976,0.071639747
mapk13,0.00117058,0.002146209,0.073651524
brpf3,0.016267489,0.011671334,0.015921968
pnpla1,0,0,0
x4930539e08rik,0.005438807,0.003994442,0.004609841
kctd20,0.12440637,0.095509932,0.116903525
stk38,0.244249597,0.187027509,0.183699358
srsf3,1.405382534,1.265425278,1.065866274
trp53cor1,0,0.000646687,0.005072859
cdkn1a,0.155677435,0.137297969,0.95903312
cpne5,0.00068424,0.002586693,0
ppil1,0.363439632,0.201069231,0.131591746
bc004004,0.483751818,0.310810456,0.214956317
pi16,0,0.005325415,0.00509639
mtch1,0.506979472,0.287173723,0.572518962
fgd2,0.018566097,0.019183152,0.173706936
gm26885,0,0.000625092,0.002801553
pim1,0.637154973,0.957141026,1.364179109
tbc1d22b,0.112502006,0.106756016,0.030868415
rnf8,0.077625834,0.071005233,0.110241115
gm28043,0.005013877,0.000967193,0
cmtr1,0.009668145,0.01747506,0.084313565
ccdc167,0.111925843,0.087887811,0.052861244
mdga1,0.000871516,0.000233127,0.004866414
zfand3,0.181683544,0.199983858,0.435769422
btbd9,0.093734087,0.130959914,0.130734462
glo1,0.337853026,0.313955462,0.109588037
x1700097n02rik,0.199483989,0.049528772,0.008685587
dnah8,0.026145493,0.027118482,0.000837816
abcg1,0.038823212,0.056068262,0.187812481
tff1,0.028406327,0.000564163,0.012014374
ubash3a,0.267743395,0.047706349,0.023091563
rsph1,0.018516155,0.005711325,0
slc37a1,0.045895318,0.024312313,0.012695764
wdr4,0.069772503,0.042962034,0.014157317
ndufv3,1.248925995,0.983116478,0.644605821
pknox1,0.080535801,0.079511787,0.050723608
u2af1,0.723231197,0.647258735,0.659053715
cryaa,0,0.001554109,0.079094133
sik1,0.044111282,0.05978424,0.015165096
hsf2bp,0,0,0
rrp1b,0.149563697,0.105518411,0.023357436
brd4,0.335404723,0.322463938,0.314640392
gm26549,0.000655351,0.004260132,0.010050853
